PopularName,SchoolId,Classification,ProperName,NickName,matches
granger christian (in),8963,,granger christian (in),,"cadillac heritage christian school, community baptist christian school"
paradise whitefish,8965,,paradise whitefish (in active),,
chequamegon/phillips,8966,,chequamegon/phillips,,
florence,8967,,florence,,
butternut homeschoolers,8968,,butternut homeschoolers,,
toronto west humber,8969,,toronto west humber,,"academy west alternative education, hope academy of west michigan"
berrien springs andrews academy,8970,,berrien springs andrews academy,,"andrews academy, 54th street academy"
walter payton college prep,8971,,walter payton college prep,,"academy of science math and technology early college high sc, early college at montcalm community college"
chicago curie (il),8972,,chicago curie (il),,
grand rapids homeschoolers,8979,,grand rapids homeschoolers,,"grand rapids university preparatory academy, link learning grand rapids alger heights"
bloomfield christian school,8980,,bloomfield christian school (mi),Defenders,"academy for business and technology high school, actech high school"
clinton township faith christian,8981,,clinton township faith christian,,"burt township school, clinton high school"
capitol city baptist,8982,,capitol city baptist,,"capitol city baptist school, bay city academy farragut campus"
westville (in),8983,,westville hs,,arts academy in the woods
owosso spring vale academy,8984,,owosso spring vale academy,,"spring vale academy, academy 21"
saginaw mmche homeschoolers,8985,,saginaw mmche homeschoolers,,
milwaukee young coggs prep,8990,,milwaukee young coggs prep,,"detroit international academy for young women, frederick douglass academy for young men"
riverside brookfield (il),8991,,riverside brookfield (il),,
illinois lutheran (il),8992,,illinois lutheran (il),,huron valley lutheran high school
hamilton transway (cn),8993,,hamilton transway (cn),,hamilton flex
dayton carroll (oh),8994,,carroll hs,,
twinsburg (oh),8997,,twinsburg (oh),,
goodman-pembine (wi),9005,,goodman-pembine (wi),,
goshen blue blazers,9018,,goshen blue blazers,,blue water middle college academy
howell christian home school,9019,,howell christian home school,,"academy for business and technology high school, actech high school"
kalamazoo home school,9020,,kalamazoo home school,,"academy for business and technology high school, academy of the americas high school"
jackson community college,9021,,jackson community college,,"academy of science math and technology early college high sc, cedar street community and family center"
michigan state university (sch),9022,,michigan state university,,"michigan mathematics and science academy dequindre, michigan reformatory"
spring arbor university,9023,,spring arbor university,,"grand rapids university preparatory academy, university preparatory academy psad high school"
butternut homeschool,9026,,butternut homeschool,,
lapeer faith home school,9027,,lapeer faith home school,,"academy for business and technology high school, alba school"
northwood university,9028,,northwood university,,"grand rapids university preparatory academy, university high school academy"
canada prep football academy (cn),9029,,canada prep football academy (cn),,"54th street academy, academy 21"
vineyard academy,9030,,vineyard academy,,"academic and career education academy, academy 21"
northern michigan university (sch),9031,,northern michigan university,,"michigan cyber academy, michigan mathematics and science academy dequindre"
delta college (sch),9032,,delta college,,"academy of science math and technology early college high sc, blue water middle college academy"
alma college - (sch),9033,,alma college,,"academy of science math and technology early college high sc, blue water middle college academy"
unknown 15,9039,,unknown 15,,
unknown 16,9040,,unknown 16,,
michigan city marquette (in),9041,,marquette catholic high school (in),,"city middlehigh, michigan mathematics and science academy dequindre"
rochester hills christian,9042,,rochester hills christian school,,"rochester hills christian school, rochester community schools virtual campus"
troy bethany christian,9043,,bethany christian school,,"troy college and career high school, cadillac heritage christian school"
universal learning 6/7/8,9044,,universal learning academy 6/7/8,Blue Jays,"blended learning academies credit recovery high school, blended learning academies credit recovery high school liv"
detroit casa richard,9045,,casa richard academy,,"casa, covenant house academy detroit central site"
niagara academy of sports,9046,,niagara academy of sports,,"academy 21, academy for business and technology high school"
millington jhs,9047,,millington jhs,,millington high school
fair haven summit homeschoolers,9048,,fair haven summit homeschoolers,,way south haven
trinity school at greenlawn,9049,,trinity school at greenlawn,,"academy for business and technology high school, actech high school"
brighton charyl stockwell prep,9050,C,charyl stockwell prep academy,Sentinels,brighton high school
brighton hs (ut),9051,,brighton hs,,"carsonvilleport sanilac hs, gladwin community alternative hs"
alta,9052,,alta hs,,
hamilton southeastern (in),9053,,hamilton southeastern (in),,hamilton flex
indianapolis pike (in),9054,,pike (in),,
pardeeville (wi),9056,,pardeeville (wi),,
saranac jhs,9059,,saranac jhs,,saranac jrsr high school
unknown 18,9060,,unknown 18,,
new covenant christian 7/8,9061,,new covenant christian 7/8,Warriors,"new covenant christian school, covenant house academy detroit central site"
life summit sports,9064,,life summit sports,,"life skills center of pontiac, summit academy north high school"
muskegon heights academy,9065,C,muskegon heights academy,Tigers,"muskegon heights academy, academic and career education academy"
muskegon heights academy 7/8,9067,,muskegon heights academy 7/8,Tigers,"muskegon heights academy, academy 21"
flint northern academy middle school,9070,,northern academy middle school,,"54th street academy, academy 21"
flint northwestern middle school,9071,,flint northwestern middle school,,"actech high school, addison high school"
benton harbor montessori academy at henry c morton school,9072,,montessori academy at henry c morton school,,"54th street academy, academic and career education academy"
detroit crockett midtown science & medicine ,9073,D,crockett midtown hs of science & medicine ,Blue Jays,"detroit school of arts, detroit country day school"
emmanuel christian school,9076,,emmanuel christian school,,"immanuel christian school, academy for business and technology high school"
triton central (in),9077,,triton central hs,,"battle creek central high school, bay city central high school"
indianapolis broad ripple (in),9078,,broad ripple hs,,
guerin catholic (in),9079,,guerin catholic hs,,"bishop foley catholic high school, lake michigan catholic school"
north putnam (in),9080,,north putnam hs,,"arts academy in the woods, grosse pointe north high school"
fort wayne concordia (in),9081,,concordia hs,,
akron springfield (oh),9082,,springfield hs,,
baltimore gilman school (md),9083,,gilman school,,"academy for business and technology high school, actech high school"
louisville st xavier (ky),9084,,st xavier hs (ky),,"st charles community middlehigh school, st clair county intervention academy"
erie strong vincent (pa),9085,,strong vincent hs,,
erie mcdowell (pa),9086,,mcdowell hs,,
portsmouth notre dame (oh),9087,,notre dame hs,,notre dame preparatory school & marist academy
fort wayne bishop luers (in),9088,,bishop luers hs,,
luck (wi),9092,,luck (wi),,
boyceville (wi),9093,,boyceville (wi),,
hammond st croix (wi),9094,,st croix central hs,,"st charles community middlehigh school, st clair county intervention academy"
glenwood city (wi),9095,,glenwood city hs,,"bay city academy farragut campus, bay city adult educationctp"
elk mound (wi),9096,,elk mound hs,,elk rapids high school
mondovi (wi),9097,,mondovi hs,,
swcha saints (wi),9098,,southeast wisconsin christian homeschool athletics (wi),,all saints central middle & high school
indianapolis marshall (in),9101,,indianapolis marshall (in),,marshall academy
indianapolis howe (in),9102,,howe hs,,howe trainable center and montessori
new philadelphia (oh),9110,,new philadelphia hs,,"new beginnings alternative high school, new buffalo senior high school"
cambridge (oh),9111,,cambridge hs,,cambridge alternative high school
canal fulton northwest (oh),9112,,northwest hs,,
coshocton (oh),9113,,coshocton hs,,
marietta (oh),9114,,marietta hs,,
new concord john glenn (oh),9115,,john glenn hs,,new school high
mississauga st. marcellinus (cn),9116,,mississauga st. marcellinus (cn),,"st clair high school, st johns high school"
mississauga meadowvale (cn),9118,,mississauga meadowvale (cn),,
mississauga st. francis xavier (cn),9119,,mississauga st. francis xavier (cn),,"francis reh psa, link learning st louis"
mississauga our lady of mount carmel (cn),9120,,mississauga our lady of mount carmel (cn),,"academy of science math and technology early college high sc, detroit school of arts"
highland park renaissance academy,9121,,highland park renaissance academy hs,,"54th street academy, academy 21"
bellevue (oh),9122,,bellevue (oh),,bellevue jrsr high school
detroit university prep science & math,9123,B,university prep science & math hs,Cobras,"academy of science math and technology early college high sc, ca frost environmental science academy middle high school"
university prep science & math 6/7/8,9124,,university prep science & math  6/7/8,Chargers,"academy of science math and technology early college high sc, ca frost environmental science academy middle high school"
adrian college,9129,,adrian college,,"academy of science math and technology early college high sc, adrian community high school"
cleveland knights (oh),9130,,cleveland knights (oh),,
eastern christian academy (md),9131,,eastern christian academy,,"54th street academy, academy 21"
baltimore calvert hall (md),9132,,calvert hall,,
valley forge military academy (pa),9133,,valley forge military academy,,"54th street academy, academy 21"
brooklyn poly prep (ny),9134,,poly prep hs,,"dearborn newcomer college prep academy, michigan international prep school"
bridge academy-west,9135,,bridge academy-west,Eagles,"bridge academy, academic and career education academy"
clonlara school 7th/8th,9136,,clonlara school 7th/8th,,"clonlara school, academy for business and technology high school"
manchester hs (va),9147,,manchester hs (va),,"carsonvilleport sanilac hs, gladwin community alternative hs"
grand rapids west michigan aviation academy,9162,B,west michigan aviation academy,Aviators,"west michigan aviation academy, 54th street academy"
bay city academy jhs,9164,,bay city academy,Lumberjacks,"academic and career education academy, academy 21"
southeast (mi) homeschoolers,9165,,southeast (mi) homeschoolers,,
corpus christi catholic school,9174,,corpus christi catholic school,The Crusaders,"academy for business and technology high school, actech high school"
pioneer north central (oh) ,9175,,pioneer north central (oh) ,,"central academy, central michigan correctional facility"
chicago bogan computer technical high school,9176,,chicago bogan computer technical high school (il),,"high school, actech high school"
bethany christian (in),9177,,bethany christian (in),,"bethany christian school, cadillac heritage christian school"
novi homeschoolers,9178,,novi homeschoolers,,
cornerstone leadership and business hs,9179,,cornerstone leadership & business hs,Hawks,"academy of science math and technology early college high sc, ea johnson memorial hs"
warren michigan math & science,9180,D,michigan math & science academy,MMSA,"academy of science math and technology early college high sc, benjamin carson high school of science and medicine"
wetmore munising baptist,9181,,munising baptist hs,Bobcats,
marquette north star academy,9182,,north star montessori academy ,Polar Bears,"academy 21, academy for business and technology high school"
north star academy 7th/8th,9183,,north star academy 7th/8th,,"academy 21, academy for business and technology high school"
munising baptist ms,9184,,munising baptist ms,Bobcats,"munising high and middle school, community baptist christian school"
monclova christian academy (oh),9185,,monclova christian academy (oh),,"54th street academy, academy 21"
flint center academy,9187,,flint center academy,,"flint cultural center academy, academic and career education academy"
bloomfield hills,9195,A,bloomfield hills hs,Black Hawks,"bloomfield hills high school, chippewa hills high school"
ypsilanti community,9197,A,ypsilanti community,Grizzlies,"ackerson lake community education, bayarenac community high school"
ellington academy of arts and technology,9199,,ellington academy of arts and technology,Saints,"54th street academy, academy 21"
fremont quad city homeschoolers (mi),9201,,fremont quad city homeschoolers (mi),,"beal city high school, boyne city high school"
capital homeschool athletic program,9203,,capital homeschool athletic program,,capital area k12 online
peoria richwoods (il),9204,,peoria richwoods (il),,
chesterfield austin catholic,9206,D,austin catholic hs,Crusaders,
simcoe holy trinity catholic (cn),9209,,simcoe holy trinity catholic (cn),,hackett catholic prep
trenton edgewood (oh),9210,,trenton edgewood (oh),,
our lady of refuge school,9211,,our lady of refuge school,,"academy for business and technology high school, academy of science math and technology early college high sc"
calvin christian middle school,9216,,calvin christian middle school,,"academy for business and technology high school, actech high school"
solon (oh),9217,,solon (oh),,
chicago hubbard (il),9218,,chicago hubbard (il),,
drummond hs,9219,,drummond hs,,"carsonvilleport sanilac hs, ea johnson memorial hs"
fayette r-3 hs,9220,,fayette r-3 hs,,"carsonvilleport sanilac hs, douglas r welch high school"
grand rapids adventist academy,9221,,grand rapids adventist academy,,"54th street academy, academy 21"
washtenaw whippets,9222,,washtenaw whippets,,"washtenaw alliance for virtual education, washtenaw county youth center educational programs"
state line christian,9223,,state line christian,,"state line christian school, cadillac heritage christian school"
creative montessori academy,9224,,creative montessori academy,,"academy 21, academy for business and technology high school"
huda school and montessori school,9226,,huda school and montessori school,,"academy of science math and technology early college high sc, actech high school"
faith christian schools,9227,,faith christian schools,,"faith christian school, faith christian school"
hanover hs,9228,,hanover hs,,"carsonvilleport sanilac hs, ea johnson memorial hs"
new prairie jhs,9229,,new prairie jhs,,"new beginnings alternative high school, new buffalo senior high school"
hanley international academy,9230,,hanley international academy,,"international academy, academy 21"
willmette loyola academy (il),9231,,wilmette loyola academy (il),,"academy 21, academy for business and technology high school"
grand rapids christian middle school,9232,,grand rapids christian middle school,,"grand rapids christian high school, actech high school"
st damian,9235,,st damian,,"link learning st louis, st charles community middlehigh school"
howell homeschoolers (haach),9236,,howell homeschoolers (haach),,howell high school
pineview home school,9237,,pineview home school,,"academy for business and technology high school, academy of the americas high school"
michigan lutheran ms,9238,,michigan lutheran ms,,"michigan lutheran seminary, west michigan lutheran school"
skeels christian school,9239,,skeels christian school,,"skeels christian school, academy for business and technology high school"
lakers home school team,9240,,lakers home school team,,"academy for business and technology high school, academy of the americas high school"
holly academy,9241,,holly academy,,"academic and career education academy, academy for business and technology high school"
grosse pointe academy,9242,,grosse pointe academy,,"academic and career education academy, academy 21"
beth haven baptist academy,9243,,beth haven baptist academy,,"academy 21, academy for business and technology high school"
fellowship baptist academy,9244,,fellowship baptist academy,,"fellowship baptist academy, academy 21"
berean baptist academy,9245,,berean baptist academy,,"berean baptist academy, academic and career education academy"
assumption,9246,,assumption,,
lincoln hs,9247,,lincoln hs,,"carsonvilleport sanilac hs, ea johnson memorial hs"
lake orion baptist school,9248,,lake orion baptist school,,"lake orion baptist school, academy for business and technology high school"
hudson homeschoolers,9249,,canton hudson homeschoolers,,
shrine hs,9250,,shrine hs,,"carsonvilleport sanilac hs, ea johnson memorial hs"
ann arbor christ the king,9251,,ann arbor christ the king,,"charlevoix montessori academy for the arts, martin luther king jr senior high school"
cincinnati archbishop mcnicholas (oh),9252,,cincinnati archbishop mcnicholas (oh),,
westland universal learning academy,9257,C,universal learning academy,Blue Jays,"universal learning academy, 54th street academy"
courtice holy trinity catholic (cn),9259,,courtice holy trinity catholic (cn),,hackett catholic prep
indianapolis lawrence north (in),9261,,indianapolis lawrence north (in),,"high school north, north edbridgeway"
indianapolis lawrence central (in),9262,,indianapolis lawrence central (in),,"central academy, central high school"
lorain (oh),9263,,lorain (oh),,
navarre fairless (oh),9264,,navarre fairless (oh),,
newark catholic (oh),9265,,newark catholic (oh),,"bishop foley catholic high school, lake michigan catholic school"
columbus briggs (oh),9266,,columbus briggs (oh),,
lancaster fisher catholic (oh),9267,,lancaster fisher catholic (oh),,
miami trace (oh),9268,,miami trace (oh),,ace
belle river st. anne catholic (cn),9269,,st. anne catholic (cn),,"flat river academy, link learning st louis"
paramus catholic (nj),9273,,paramus catholic (nj),,"bishop foley catholic high school, our lady of the lakes catholic school"
wilmington salesianum (de),9276,,wilmington salesianum (de),,
pittsburgh renaissance christian academy (pa),9277,,pittsburgh renaissance christian academy (pa),,"54th street academy, academy 21"
pittsburgh uso (pa),9278,,pittsburgh uso (pa),,
belleville east (il),9279,,belleville east (il),,"covenant house academy detroit east site, east english village preparatory academy"
chicago westinghouse college prep (il),9280,,chicago westinghouse college prep (il),,"academy of science math and technology early college high sc, airport middle college"
chicago perspectives charter/leadership (il),9281,,chicago perspectives charter/leadership (il),,"byron center charter school, excel charter academy"
chicago bogan (il),9282,,chicago bogan (il),,
chicago morgan park (il),9283,,chicago morgan park (il),,progress park
akron tippecanoe valley (in),9284,,akron tippecanoe valley (in),,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education"
noblesville homeschoolers (in),9285,,noblesville homeschoolers (in),,
livingston county homeschoolers (mi),9286,,livingston county homeschoolers (mi),,"genesee county jail, jackson county jail"
chicago lane (il),9287,,chicago lane (il),,way academy chicago site
chicago dunbar (il),9288,,chicago dunbar (il),,
chicago foreman (il),9289,,chicago foreman (il),,
livingston christian middle school,9290,,livingston christian middle school,,"livingston christian schools, actech high school"
findlay liberty-benton (oh),9291,,findlay liberty-benton (oh),,
bucyrus wynford (oh),9292,,bucyrus wynford (oh),,
vanlue (oh),9293,,vanlue (oh),,
mt cory cory-rawson (oh),9294,,mt cory cory-rawson (oh),,mt morris education and community center
arcadia (oh),9295,,arcadia (oh),,
pandora-gilboa (oh),9296,,pandora-gilboa (oh),,
leipsic (oh),9297,,leipsic (oh),,
ellington academy of arts & technology 7th/8th,9298,,ellington academy of arts & technology 7th/8th,,"54th street academy, academy 21"
aylmer east elgin (cn),9299,,aylmer east elgin (cn),,"covenant house academy detroit east site, east english village preparatory academy"
aberdeen ms,9300,,aberdeen ms,,
dickinson cultural academy,9301,,dickinson cultural academy,,"academy 21, academy for business and technology high school"
north park montessori,9302,,north park montessori,,"chandler park academy high school, charlevoix montessori academy for the arts"
boscobel (wi),9303,,boscobel (wi),,
birchwood (wi),9304,,birchwood (wi),,
buhl mesabi academy (mn),9305,,buhl mesabi academy (mn),,"academic and career education academy, academy 21"
fort wayne northrop (in),9306,,fort wayne northrop (in),,
ossian norwell (in),9307,,ossian norwell (in),,
zilwaukee ,9308,,zilwaukee ,,
detroit university yes academy,9309,,university yes academy,Lions,"university yes academy, 54th street academy"
st helen charlton heston academy,9310,C,charlton heston academy ,Patriots,"charlton heston academy, 54th street academy"
charlton heston academy 6-8,9311,,charlton heston academy 6-8,,"charlton heston academy, academy 21"
st. clairsville (oh),9312,,st. clairsville (oh),,"st charles community middlehigh school, st clair county intervention academy"
wheeling central catholic (wv),9313,,wheeling central catholic (wv),,"central academy, central high school"
oshawa eastdale (cn),9314,,oshawa eastdale (cn),,
oshawa monsignor paul dwyer (cn),9315,,oshawa monsignor paul dwyer (cn),,
ajax (on),9316,,ajax (on),,
pickering st. mary (on),9317,,pickering st. mary (on),,"st charles community middlehigh school, st clair county intervention academy"
ajax pickering (cn),9318,,ajax pickering (cn),,
whitby donald a wilson (cn),9319,,whitby donald a wilson (cn),,jclisd academy a regional middle college
hamilton bishop ryan (cn),9320,,hamilton bishop ryan (cn),,hamilton flex
hamilton bishop tonnos (cn),9321,,hamilton bishop tonnos (cn),,hamilton flex
hamilton st. mary catholic (cn),9322,,hamilton st. mary catholic (cn),,"hamilton flex, hamilton high school"
honey creek community school,9323,,honey creek community school,,"academy for business and technology high school, actech high school"
taylor prep,9324,B,taylor preparatory hs,Tigers,"taylor preparatory high school, dearborn newcomer college prep academy"
lapeer,9325,A,lapeer hs,Lightning,"lapeer co education and technology center, lapeer high school"
washington court house (oh),9327,,washington court house (oh),,"covenant house academy detroit central site, covenant house academy detroit east site"
ingham county pilgrims homeschoolers (mi),9328,,ingham county pilgrims homeschoolers (mi),,"genesee county jail, ingham county youth center"
chicago harlan (il),9333,,chicago harlan (il),,
chicago phillips (il),9334,,chicago phillips (il),,
gravity works test,9335,,gravity works test,,
chicago marshall (il),9336,,chicago marshall (il),,marshall opportunity high school
bay city academy hs,9346,,bay city academy hs,Lumberjacks,"academic and career education academy, academy 21"
peterson-warren academy 7/8,9347,,peterson-warren academy 7/8,,"academy 21, academy for business and technology high school"
inkster peterson warren academy,9349,,peterson warren academy,,"54th street academy, academy 21"
toledo notre dame (oh),9352,,toledo notre dame (oh),,notre dame preparatory school & marist academy
brimley ojibwe charter,9353,D,ojibwe charter hs,Eagles,"capstone academy charter school sda south campus, capstone academy charter schoolmayfield"
detroit public safety academy ,9354,D,detroit public safety academy ,Eagles,"detroit public safety academy, 54th street academy"
midland homeschoolers,9357,,midland homeschoolers,,
clinton county homeschoolers,9358,,clinton county homeschoolers,,"allegan county area technical and education center, alternative educational academy of iosco county"
huntington homeschoolers (in),9359,,huntington homeschoolers (in),,
south bend community baptist christian (in),9360,,south bend community baptist christian (in),,"adrian community high school, alcona community high school"
st. marguerite d'youville (cn),9361,,st. marguerite d'youville (cn),,"st mary school, st patrick school"
chicago northside college prep (il),9362,,chicago northside college prep (il),,"academy of science math and technology early college high sc, airport middle college"
battle creek homeschoolers,9363,,battle creek homeschoolers,,
marinette twin city homeschoolers (wi),9365,,marinette twin city homeschoolers (wi),,"beal city high school, boyne city high school"
wyoming (mi) homeschoolers,9366,,wyoming (mi) homeschoolers,,"vestaburg community alternative education school wyoming, west mi academy of environmental science"
midland calvary baptist,9371,D,midland calvary baptist,Kings,
owosso homeschoolers,9373,,owosso homeschoolers,,
milford west highland christian academy,9374,,milford west highland christian academy,,"west highland christian academy, 54th street academy"
wixom christian,9375,,wixom christian academy,,"wixom christian school, algoma christian school"
goshen clinton christian (in),9376,,goshen clinton christian (in),,
battle creek academy,9377,D,battle creek academy hs,BCA,"battle creek academy, academic and career education academy"
battle creek bedford bible school,9378,,battle creek bedford bible school,,"actech high school, addison high school"
pickerington north (oh),9380,,pickerington high school north (oh),,"north adamsjerome middlehigh school, north central area senior high school"
illinois school for the deaf (il),9381,,illinois school for the deaf (il),,"actech high school, addison high school"
columbus beechcroft (oh),9412,,columbus beechcroft (oh),,
washtenaw international middle ,9415,,washtenaw international middle school,,"american international academy high schoolmiddle schooll, ca frost environmental science academy middle high school"
west lafayette (in),9416,,west lafayette (in),,"academy west alternative education, hope academy of west michigan"
st. laurence (il),9417,,burbank st. laurence (il),,"st charles community middlehigh school, st charles virtual school"
heritage school ,9418,,heritage school ,Panthers,"heritage high school, academy for business and technology high school"
flint academy west,9419,,academy west,,"academic and career education academy, academy 21"
chicago urban prep/bronzeville (il),9421,,chicago urban prep/bronzeville (il),,"voyageur college prep, hackett catholic prep"
chicago north lawndale charter (il),9422,,chicago north lawndale charter (il),,"excel charter academy, flex high north flint"
big rock crossroads academy (il),9423,,big rock crossroads academy (il),,"54th street academy, academy 21"
chatfield school ,9425,,chatfield school ,Dolphins,"academy for business and technology high school, academy of the americas high school"
shawmut hills ,9426,,shawmut hills ,,"bloomfield hills high school, chippewa hills high school"
nouvel catholic central ms,9427,,nouvel catholic central ms,Panthers,"central academy, covenant house academy detroit central site"
dallas prime prep (tx),9428,,dallas prime prep (tx),,"dearborn newcomer college prep academy, michigan international prep school"
hobart (in),9429,,hobart (in),,arts academy in the woods
highland (in),9430,,highland (in),,"arts academy in the woods, highland pines school"
minnetonka (mn),9431,,minnetonka (mn),,
fridley totino grace (mn),9432,,fridley totino grace (mn),,ace
lakeville north (mn),9433,,lakeville north (mn),,"grosse pointe north high school, lighthouse academy north campus"
london (oh),9434,,london (oh),,
columbus whetstone (oh),9435,,columbus whetstone (oh),,
crooksville (oh),9436,,crooksville (oh),,
loudonville-perrysville (oh),9437,,loudonville-perrysville (oh),,
mentor lake catholic (oh),9438,,mentor lake catholic (oh),,"lake huron virtual hybrid high school, our lady of the lakes catholic school"
pickerington central (oh),9439,,pickerington high school central (oh),,"central academy, central michigan correctional facility"
dublin jerome (oh),9440,,dublin jerome (oh),,
avondale academy,9442,,avondale academy,,"academic and career education academy, academy 21"
mishicot (wi),9443,,mishicot (wi),,
burlington frank hayden (cn),9444,,burlington frank hayden (cn),,
oakville garth webb (cn),9445,,oakville garth webb (cn),,
forest north lambton (cn),9446,,forest north lambton (cn),,north central area senior high school
lansing martin luther ,9447,D,martin luther hs,Mavericks,"martin luther king jr senior high school, the early college lansing community college"
new berlin west (wi),9448,,new berlin west (wi),,"academy west alternative education, hope academy of west michigan"
detroit school of arts,9449,B,detroit school of arts,Achievers,"detroit school of arts, academy for business and technology high school"
big rapids st mary schl ,9450,,st mary school ,Colts,"covenant house academy grand rapids, grand rapids university preparatory academy"
university yes academy middle school,9451,,university yes academy middle school,,"university yes academy, 54th street academy"
hillsdale preparatory school 7th/8th,9452,,hillsdale preparatory school 7th/8th,,"actech high school, addison high school"
milton craig kielburger (cn),9453,,milton craig kielburger (cn),,
grand rapids hope academy of west michigan,9454,D,hope academy of west michigan hs,Hawks,"hope academy of west michigan, 54th street academy"
canton prep,9455,B,canton preparatory hs,Chargers,"canton preparatory high school, canton high school"
oakdale academy,9459,,oakdale academy,,"oakdale academy, academic and career education academy"
springfield christian academy ,9460,,springfield christian academy ,,"54th street academy, academy 21"
houston st. thomas (tx),9461,,houston st. thomas (tx),,"st charles community middlehigh school, st clair county intervention academy"
lowell (in),9463,,lowell (in),,"arts academy in the woods, lowell senior high school"
flint waterbrook christian academy,9468,,flint waterbrook christian academy,,"waterbrook christian academy, 54th street academy"
detroit cornerstone health & technology,9477,,cornerstone health & technology hs,Wolves,"academy of science math and technology early college high sc, detroit school of arts"
michigan city christian (in),9481,,michigan city christian (in),,"city middlehigh, michigan mathematics and science academy dequindre"
pinconning st michael,9484,,st michael school,,"st charles community middlehigh school, st clair county intervention academy"
big rapids homeschoolers,9485,,big rapids homeschoolers,,"grand rapids university preparatory academy, link learning grand rapids alger heights"
hamtramck bridge academy,9486,,hamtramck bridge academy,,"bridge academy, academic and career education academy"
southfield crescent academy,9487,,southfield crescent academy,,"academy 21, academy for business and technology high school"
athens factoryville christian,9488,,athens factoryville christian,,"athens high school, factoryville christian school"
north grand rapids homeschoolers,9489,,north grand rapids homeschoolers,,"flex high north flint, high school north"
arts & technology academy of pontiac,9490,C,arts & technology acad of pontiac,Lions,"arts and technology academy of pontiac, 54th street academy"
dearborn heights vista meadows academy,9491,,dearborn heights vista meadows academy,,"vista meadows academy, 54th street academy"
dearborn heights wise academy,9492,,wise academy hs,Lions,"54th street academy, academy 21"
grand rapids homeschoolers - spartans,9493,,grand rapids homeschoolers - spartans,,"big rapids high school, eaton rapids high school"
gary charter school of the dunes (in),9494,,gary charter school of the dunes (in),,"academy of science math and technology early college high sc, actech high school"
columbus africentric early college (oh),9495,,columbus africentric early college (oh),,"academy of science math and technology early college high sc, airport middle college"
lewis center olentangy (oh),9496,,lewis center olentangy (oh),,"allegan county area technical and education center, apollo center"
jackson homeschoolers (mi),9498,,jackson homeschoolers (mi),,"jackson isd local based special education programs, jackson pathways"
corunna immanuel baptist,9502,,corunna immanuel baptist,,
muskegon shoreline homeschoolers,9505,,muskegon shoreline homeschoolers,,muskegon high school
bridgeport baptist academy,9506,,bridgeport baptist academy,,"bridgeport baptist academy, academy 21"
petoskey landmark christian,9507,,petoskey landmark christian,,landmark academy
bluegrass homeschoolers (ky),9508,,bluegrass homeschoolers (ky),,
indianapolis golden eagles homeschoolers (in),9509,,indianapolis golden eagles homeschoolers (in),,arts academy in the woods
sterling heights storm homeschoolers,9510,,sterling heights storm homeschoolers,,muskegon heights academy
fort wayne horizon christian academy (in),9511,,fort wayne horizon christian academy (in),,"54th street academy, academy 21"
petoskey st michael ,9518,D,st michael hs,Guardians,"st charles community middlehigh school, st clair county intervention academy"
little chute (wi),9520,,little chute (wi),,
indianapolis emmerich manual (in),9523,,indianapolis emmerich manual (in),,
tucker middle school,9525,,tucker middle school,,"academy for business and technology high school, academy of the americas high school"
brandon academy of arts & sciences,9528,,brandon academy of arts & sciences,,"54th street academy, academy 21"
windsor e.j. lajeunesse (cn),9533,,windsor e.j. lajeunesse (cn),,michael j mcgivney
liberty ms,9538,,liberty middle school,,
northpointe christian middle school,9542,,northpointe christian middle school,,"actech high school, addison high school"
detroit delta prep,9545,,detroit delta prep acad for social justice,Pioneers,"covenant house academy detroit central site, covenant house academy detroit east site"
chicago legal prep charter (il),9548,,chicago legal prep charter academy (il),,capstone academy charter school sda south campus
chicago brooks (il),9549,,chicago brooks (il),,brooks correctional facility
chicago urban prep/englewood (il),9550,,chicago urban prep/englewood (il),,"voyageur college prep, hackett catholic prep"
algonquin jacobs (il),9551,,algonquin jacobs (il),,
edwardsville (il),9552,,edwardsville (il),,
alton (il),9553,,alton (il),,
bremen (in),9554,,bremen (in),,arts academy in the woods
russiaville western (in),9555,,russiaville western (in),,western michigan christian high school
osceola eagles club (in),9556,,osceola eagles club (in),,
prairie farm (wi),9560,,prairie farm (wi),,
new auburn (wi),9562,,new auburn (wi),,"new beginnings alternative high school, new buffalo senior high school"
jackson prep,9564,C,jackson prep & early college hs,Falcons,"jackson preparatory early college, dearborn newcomer college prep academy"
durant-tuuri-mott school,9566,,durant-tuuri-mott school,,"academy for business and technology high school, alba school"
dunlap (il),9567,,dunlap (il),,
lasalle-peru (il),9568,,lasalle-peru (il),,
marion (il),9569,,marion (il),,"marion d crouse instr center, marion high school"
tecumseh vista (cn),9574,,tecumseh vista (cn),,
mcgregor (mn),9575,,mcgregor (mn),,
bowmanville st. stephen (cn),9577,,bowmanville st. stephen (cn),,"virtual learning academyof st clair county, st mary school"
ajax j. clarke richardson collegiate (cn),9578,,ajax j. clarke richardson collegiate (cn),,michael j mcgivney
niagara falls st. paul (cn),9579,,niagara falls st. paul (cn),,"virtual learning academyof st clair county, st mary school"
culver south ridge (mn),9582,,culver south ridge (mn),,capstone academy charter school sda south campus
lapeer area homeschool association,9590,,lapeer area homeschool association,,"brimley area school, byron area high school"
michigan math & science acad ms,9600,,michigan math & science acad ms,Cougars,"academy of science math and technology early college high sc, benjamin carson high school of science and medicine"
