MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
frankfort clinton prairie (in),6777,,Clinton Prairie HS,,clinton high school,
michigantown clinton central (in),6778,,Clinton Central HS,,"central academy, central high school",
chalmers frontier (in),6779,,Frontier HS,,,
sussex hamilton (wi),6780,,Hamilton HS,,,
brookfield east (wi),6781,,Brookfield East HS,,"covenant house academy detroit east site, east english village preparatory academy",
waukesha west (wi),6782,,Waukesha West HS,,"academy west alternative education, hope academy of west michigan",
indianapolis arsenal tech (in),6783,,Arsenal Tech HS,,"lisd tech center, van buren tech",
chicago providence catholic (il),6784,,Providence Catholic HS,,,
fish creek gibraltar (wi),6785,,Gibraltar HS,,"swartz creek virtual learning center, west michigan virtual battle creek hs",
colfax (wi),6786,,Colfax HS,,,
tony flambeau (wi),6787,,Flambeau HS,,,
fall river (wi),6788,,Fall River HS,,"black river public school middlehigh, grand river preparatory high school",
milwaukee univ. school of milwaukee (wi),6789,,University School of Milwaukee,,"academy of science math and technology early college high sc, actech high school",
somers shoreland lutheran (wi),6790,,Shoreland Lutheran HS,,,
burlington catholic central (wi),6791,,Catholic Central HS,,"central academy, central high school",
mogadore (oh),6792,,Mogadore HS,,,
chicago harper (il),6793,,Harper HS,,"harper woods virtual academy, the harper woods college and career institute",
manitowac lincoln (wi),6794,,Manitowoc Lincoln HS,,lincoln school,
valparaiso (in),6795,,Valparaiso  HS,,arts academy in the woods,
indianapolis ben davis (in),6796,,Ben Davis HS,,davis aerospace technical high school at golightly,
arva medway (cn),6797,,Medway HS,,,
st charles east (il),6798,,St. Charles East HS,,"covenant house academy detroit east site, east english village preparatory academy",
aurora west aurora (il),6799,,West Aurora HS,,"academy west alternative education, kalamazoo resa west campusyoung adult program",
west jefferson (oh),6800,,West Jefferson HS,,"academy west alternative education, hope academy of west michigan",
portsmouth sciotoville (oh),6801,,Sciotoville Community HS,,,
columbus harvest prep (oh),6802,,Harvest Preparatory School,,dearborn newcomer college prep academy,
hortonville (wi),6803,,Hortonville HS,,,
mauston (wi),6804,,Mauston HS,,,
rice lake (wi),6805,,Rice Lake HS,,"ackerson lake community education, bear lake high school",
monticello twin lakes (in),6806,,Twin Lakes HS,,,
royal center pioneer (in),6807,,Pioneer HS,,"allegan county area technical and education center, apollo center",
morocco north newton (in),6808,,North Newton HS,,north central area senior high school,
indianapolis heritage christian (in),6809,,Heritage Christian HS,,"heritage high school, algoma christian school",
north judson san pierre (in),6810,,North Judson-San Pierre HS,,"high school north, north edbridgeway",
milwaukee king prep (wi),6811,,Milwaukee King Prep HS,,"dearborn newcomer college prep academy, martin luther king jr senior high school",
andover (mn),6812,,Andover HS,,,
cloguet (mn),6813,,Cloquet HS,,,
thief river falls (mn),6814,,Thief River Falls HS,,"black river public school middlehigh, grand river preparatory high school",
adams-friendship (wi),6815,,Adams-Friendship HS,,lincolnking adams young school grove campus,
manawa little wolf (wi),6816,,Little Wolf HS,,,
milwaukee king (wi),6817,,Milwaukee King HS,,martin luther king jr senior high school,
wheeling linsley (wv),6818,,Linsley HS,,,
wellsville (oh),6819,,Wellsville HS,,,
martins ferry (oh),6820,,Martins Ferry HS,,,
cincinnati harmony (oh),6821,,Harmony HS,,,
sharpsville (pa),6822,,Sharpsville HS,,,
chesterland west geauga (oh),6823,,West Geauga HS,,"kalamazoo resa west campusyoung adult program, shiawassee resd student learning center west",
bellaire (oh),6824,,Bellaire HS,,bellaire middlehigh school,
new wilmington (pa),6825,,New Wilmington HS,,"new beginnings alternative high school, new buffalo senior high school",
rochester aquinas institute (ny),6826,,Aquinas Institute,,,
steubenville (oh),6827,,Steubenville HS,,,
chicago international charter (il),6828,,International Charter School,,"american international academy high schoolmiddle schooll, excel charter academy",
bluffton (oh),6830,,Bluffton HS,,,
galesville--gale-ettrick-trempealeau (wi),6831,,Gale-Ettrick-Trempealeau HS,,,
knightstown (in),6832,,Knightstown HS,,arts academy in the woods,
middletown shenandoah (in),6833,,Shenandoah HS,,,
fairland tri-central (in),6834,,Tri-Central HS,,"central academy, central michigan correctional facility",
eveleth-gilbert (mn),6835,,Eveleth/Gilbert HS,,,
hillard davidson (oh),6836,,Hilliard Davidson HS,,,
columbus northland (oh),6837,,Northland HS,,,
columbus mifflin (oh),6838,,Mifflin HS,,,
grove city central crossing (oh),6839,,Central Crossing HS,,"central academy, central high school",
reynoldsburg (oh),6840,,Reynoldsburg HS,,,
milton (cn),6841,,Milton HS,,milton c porter ed center,
oakville trafalgar (cn),6842,,Trafalgar HS,,,
georgetown (cn),6843,,Georgetown HS,,,
oakville st thomas aquinas (cn),6844,,St Thomas Aquinas HS,,"st clair high school, st johns high school",
burlington aldershot (cn),6845,,Aldershot HS,,,
burlington pearson (cn),6846,,LB Pearson HS,,,
oakville abbey park (cn),6847,,Abbey Park (Q.E. Park) HS,,progress park,
georgetown christ the king (cn),6848,,Christ the King HS,,"southfield high school for the arts and technology, the harper woods college and career institute",
burlington robert bateman (cn),6849,,Robert Bateman (Lord Elgin) HS,,,
richton park rich south (il),6851,,Rich South HS,,"capstone academy charter school sda south campus, forest park school",
addison trail (il),6852,,Addison Trail HS,,,
berwyn morton (il),6853,,Morton HS,,,
franklin park leyden (il),6854,,Leyden HS,,progress park,
villa park willowbrook (il),6855,,Willowbrook HS,,progress park,
chicago hirsch (il),6856,,Hirsch HS,,,
mississippi school for the deaf (ms),6857,,Mississippi School for the Deaf (MS),,"actech high school, addison high school",
youngstown east (oh),6858,,East HS,,"covenant house academy detroit east site, east english village preparatory academy",
burlington notre dame (cn),6859,,Notre Dame HS,,notre dame preparatory school & marist academy,00637399
burlington central (cn),6860,,Central HS,,"central michigan correctional facility, central montcalm middle high school",
duluth marshall (mn),6861,,Marshall HS,,marshall opportunity high school,
innisfil nantyr shores (cn),6862,,Nantyr Shores HS,,,
west salem (wi),6863,,West Salem HS,,"academy west alternative education, david ellis academy west",
wisconsin dells (wi),6864,,Wisconsin Dells HS,,,
crete monee (il),6865,,Crete-Monee HS,,,
chicago longwood academy (il),6866,,Longwood Academy,,"academy 21, academy for business and technology high school",
evansville fj reitz (in),6867,,Evansville FJ Reitz HS,,,
churubusco (in),6868,,Churubusco HS,Eagles,arts academy in the woods,
hammond bishop noll (in),6869,,Bishop Noll HS,,,
north newton (in),6870,,North Newton HS,,"arts academy in the woods, grosse pointe north high school",
eden prarie (mn),6871,,Eden Prairie HS,,,
burnsville (mn),6872,,Burnsville HS,,,
jeffersonville (in),6873,,Jeffersonville HS,,,
newburgh castle (in),6874,,Castle HS,,,
evansville harrison (in),6875,,Evansville Harrison HS,,harrison center,
evansville reitz (in),6876,,Evansville Reitz Memorial HS,,,
evansville central (in),6877,,Evansville Central HS,,"central michigan correctional facility, central montcalm middle high school",
evansville north (in),6878,,Evansville North HS,,"grosse pointe north high school, lighthouse academy north campus",
evansville bosse (in),6879,,Evansville Bosse HS,,,
evansville mater dei (in),6880,,Evansville Master Del HS,,,
gary bowman academy (in),6881,,Thea Bowman Academy,,"academic and career education academy, academy 21",
union grove (wi),6882,,Union Grove HS,,"chesaning union high school, chesaning union schools alternative education",
manitowoc roncalli hs (wi),6883,,Roncalli HS,,,
cleveland willoughby south (oh),6884,,Willoughby South,,"capstone academy charter school sda south campus, way south haven",
cincinnati winton woods (oh),6885,,Winton Woods,,the harper woods college and career institute,
st francis (wi),6886,,St. Francis,,"link learning st louis, st charles community middlehigh school",
new berlin eisenhower (wi),6887,,Eisenhower,,"new beginnings alternative high school, new school high",
brown deer (wi),6888,,Brown Deer,,brown city high school,
greenfield whitnall (wi),6889,,Whitnall,,,
bradley-bourbonnais coummunity (il),6890,,Bradley-Bourbonnais Coummunity HS,,,
game wanted,6891,,Game Wanted,,,
open league,6892,,Open League,,,
portland jay county (in),6893,,Portland Jay County HS,,"allegan county area technical and education center, alternative educational academy of iosco county",
detroit public schools league,6912,,Detroit Public Schools League,,"chesaning union schools alternative education, covenant house academy detroit southwest site",
new haven merritt academy,7341,D,Merritt Academy HS,Mustangs,"merritt academy, academy 21",
pontiac,7342,A,Pontiac HS,Phoenix,"arts and technology academy of pontiac, life skills center of pontiac",
kalamazoo phoenix,7343,D,Phoenix HS,Phoenix Fury,"kalamazoo area math and science center, kalamazoo central high school",
detroit plymouth educational center,7344,,Plymouth Educational Center Prep HS,Panthers,"apollo center, bay pines center",
ann arbor clonlara,7345,,Clonlara School,,"ann arbor learning community, arbor preparatory high school",
clarkston everest collegiate,7346,D,Everest Collegiate HS,Mountaineers,"detroit collegiate preparatory high school at northwestern, everest academy",
detroit frontier international,7347,B,Frontier International Academy,Frontier Knights,"american international academy high schoolmiddle schooll, covenant house academy detroit southwest site",
grand traverse academy,7348,D,Grand Traverse Academy,Mustangs,"grand traverse academy, academic and career education academy",
detroit cristo rey,7349,C,Detroit Cristo Rey HS,Wolves,"detroit cristo rey high school, covenant house academy detroit central site",
coolidge middle school,7350,,Coolidge Middle School,,"academy for business and technology high school, academy of the americas high school",
plymouth east middle school,7351,,East Middle School,,"academy for business and technology high school, actech high school",
midland - central middle school,7352,,Central Middle School,,"academy for business and technology high school, actech high school",
warren michigan collegiate middle school,7353,,Michigan Collegiate Middle School,,"actech high school, addison high school",
jhs1,7354,,JHS1,,,
rochester west middle school,7355,,West Middle School,Warriors,"west middle school, academy for business and technology high school",
plymouth west middle school,7356,,West Middle School,Bulldogs,"west middle school, academy for business and technology high school",
ruben daniels ms,7357,,Ruben Daniels Middle School,,,
dearborn heights riverside middle school,7358,,Riverside Middle School,,"actech high school, addison high school",
willie e.thompson ,7359,,Willie E.Thompson ,,wylie e groves high school,
east middle school,7360,,East Middle School,,"west middle school, hart middle school",
monroe jefferson middle school,7361,,Jefferson Middle School,,"academy for business and technology high school, actech high school",
waterford mason middle school,7362,,Mason Middle School,,"academy for business and technology high school, actech high school",
fowler waldron middle school,7363,,Waldron Middle School,,"academy for business and technology high school, actech high school",
harrison middle school,7364,,Harrison Middle School,,"academy for business and technology high school, academy of the americas high school",
st clair shores jefferson middle school,7365,,Jefferson Middle School,,"actech high school, addison high school",
grosse pointe pierce middle school,7366,,Pierce Middle School,,"actech high school, addison high school",
mason middle school,7367,,Mason Middle School,,"academy for business and technology high school, academy of the americas high school",
comstock middle school,7368,,Comstock Middle School,,"academy for business and technology high school, academy of the americas high school",
pontiac lincoln middle school,7369,,Lincoln Middle School,,"academy for business and technology high school, actech high school",
washington middle school,7370,,Washington Middle School,,"academy for business and technology high school, alba school",
warren carter middle school,7371,,Carter Middle School,,"academy for business and technology high school, actech high school",
marshall middle school,7372,,Marshall Middle School,,"academy for business and technology high school, academy of the americas high school",
ypsilanti east middle school,7373,,East Middle School,,"academy for business and technology high school, actech high school",
jefferson middle school,7374,,Jefferson Middle School,,"academy for business and technology high school, academy of the americas high school",
ypsilanti community middle school,7375,,Ypsilanti Community Middle School,,"actech high school, addison high school",
lincoln middle school,7376,,Lincoln Middle School,,"academy for business and technology high school, academy of the americas high school",
mcbride middle school,7377,,McBride Middle School,,"academy for business and technology high school, academy of the americas high school",
port huron central middle school,7378,,Central Middle School,,"actech high school, addison high school",
canton - central middle school,7379,,Central Middle School,Chargers,"academy for business and technology high school, actech high school",
swartz creek st mary jhs,7380,,St Mary JHS,,"st charles community middlehigh school, st clair county intervention academy",
lake leelanau st mary middle school,7381,,St Mary Middle School,,"actech high school, addison high school",
rochester hart middle school,7382,,Hart Middle School,,"hart middle school, academy for business and technology high school",
unionville st paul lutheran jhs,7383,,St Paul Lutheran JHS,,"st clair high school, st johns high school",
manistee trinity lutheran jhs,7384,,Trinity Lutheran JHS,,,
northville hillside middle school,7385,,Hillside Middle School,,"actech high school, addison high school",
muskegon trinity lutheran school,7386,,Trinity Lutheran School,,"actech high school, addison high school",
st joseph jhs,7387,,St Joseph JHS,,"link learning st louis, st charles community middlehigh school",
detroit wilson middle school,7388,,Wilson Middle School,,"academy for business and technology high school, actech high school",
detroit longfellow middle school,7389,,Longfellow Middle School,,"actech high school, addison high school",
grand rapids northeast middle school,7390,,Northeast Middle School,,"actech high school, addison high school",
norway vulcan middle school,7391,,Vulcan Middle School,,"academy for business and technology high school, actech high school",
waterford pierce middle school,7392,,Pierce Middle School,Pirates,"academy for business and technology high school, actech high school",
traverse city trinity lutheran school,7393,,Trinity Lutheran School,,"actech high school, addison high school",
comstock park mill creek middle school,7394,,Mill Creek Middle School,,"actech high school, addison high school",
okemos chippewa middle school,7395,,Chippewa Middle School,Wolves,"academy for business and technology high school, actech high school",
detroit webber middle school,7396,,Webber Middle School,,"academy for business and technology high school, actech high school",
detroit farwell middle school,7397,,Farwell Middle School,,"academy for business and technology high school, actech high school",
taylor west middle school,7398,,West Middle School,,"west middle school, academy for business and technology high school",
pontiac middle school,7399,,Pontiac Middle School,,"academy for business and technology high school, academy of the americas high school",
grand haven lakeshore middle school,7400,,Lakeshore Middle School,,"actech high school, addison high school",
warren zoe christian academy,7401,,Zoe Christian Academy,,"academy 21, academy for business and technology high school",
sturgis trinity lutheran school,7402,,Trinity Lutheran School,,"academy for business and technology high school, actech high school",
st joseph school,7403,,St Joseph School,,"st joseph high school, academy for business and technology high school",
hillsdale academy 6/7/8,7404,,Hillsdale Academy 6/7/8,,"hillsdale academy, academic and career education academy",
sawyer trinity lutheran school,7405,,Trinity Lutheran School,,"academy for business and technology high school, actech high school",
detroit academy of arts & sciences jhs,7406,,Detroit Academy of Arts & Sciences JHS,,"54th street academy, academy 21",
pontiac academy for excellence 6-8,7407,,Pontiac Academy for Excellence 6-8,,"pontiac academy for excellence, 54th street academy",
zion christian middle school,7408,,Zion Christian Middle School,,"zion christian school, academy for business and technology high school",
frontier international academy 7/8,7409,,Frontier International Academy 7/8,,"frontier international academy, international academy",
grand rapids potter's house ms,7410,,The Potter's House MS,,"covenant house academy detroit southwest site, potters house school",
cadillac mackinaw trail,7411,,Mackinaw Trail Middle School,Vikings,,
detroit burns,7412,,Burns Elementary Middle School,,"covenant house academy detroit central site, covenant house academy detroit east site",
detroit parker,7413,,Parker Middle School,,"covenant house academy detroit central site, covenant house academy detroit east site",
detroit richard ms,7414,,Richard Middle School,,"covenant house academy detroit central site, covenant house academy detroit east site",
detroit stewart,7415,,Stewart Middle School,,"covenant house academy detroit central site, covenant house academy detroit east site",
zeeland borculo christian,7416,,Borculo Christian School,,"detroit christian schools of excellence, grandville calvin christian high school",
jackson trinity,7417,,Trinity Lutheran School,,"east jackson secondary school, jackson area career center",
oak park preparatory academy,7418,,Oak Park Preparatory Academy,,"academy 21, academy for business and technology high school",
ypsilanti calvary christian ms,7419,,Calvary Christian Academy,,,
st peter's lutheran school,7420,,St Peter's Lutheran School,,"academy for business and technology high school, alba school",
kalamazoo linden grove,7421,,Linden Grove Middle School,,"kalamazoo area math and science center, kalamazoo county juvenile home youth center school",
grand rapids university prep ,7422,,University Prep Academy,U Prep,"grand rapids university preparatory academy, university preparatory academy psad high school",
keshena menominee indian (wi),7423,,Menominee Indian HS,,,
onalaksa (wi),7425,,Onalaska High School,,,
west chicago wheaton academy (il),7426,,Wheaton Academy,,"54th street academy, academy 21",
lake forest academy (il),7427,,Lake Forest Academy,,"academic and career education academy, academy 21",
jackson living word lutheran (wi),7428,,Living Word Lutheran,,"jackson county jail, jackson high school",
menominee indian (wi),7429,,Menominee Indian,,menominee isd special education,
oos(7),7430,,OOS7,,,
london st thomas aquinas (cn),7431,,St Thomas Aquinas,,"virtual learning academyof st clair county, st mary school",
whitehall (wi),7432,,Whitehall,,whitehall senior high school,
wautoma high school (wi),7433,,Wautoma High School,,"high school, academy for business and technology high school",
lincoln-way central (il),7434,,Lincoln-Way Central,,"central academy, central michigan correctional facility",
lincoln-way east (il),7435,,Lincoln-Way East,,"covenant house academy detroit east site, east english village preparatory academy",
lincoln-way north (il),7436,,Lincoln-Way North,,"lincoln school, north adamsjerome middlehigh school",
homewood-flossmoor (il),7437,,Homewood-Flossmoor,,,
stagg (il),7438,,Stagg,,,
fort zumwalt west (mo),7439,,Fort Zumwalt West,,"academy west alternative education, kalamazoo resa west campusyoung adult program",
hales franciscan (il),7440,,Hales Franciscan,,,
maranatha baptist (wi),7441,,Maranatha Baptist,,community baptist christian school,02038134
danville schlarman (il),7442,,Danville Schlarman,,,
bear creek (cn),7443,,Bear Creek,,"battle creek area learning center, battle creek central high school",
collingwood collegiate (cn),7444,,Collingwood Collegiate,,detroit collegiate preparatory high school at northwestern,
laurier ss (cn),7445,,Laurier SS,,,
maple (cn),7446,,Maple HS,,"maple grove alternative high school, maple valley jrsr high school",
markham (cn),7447,,Markham District HS,,,
king city (cn),7448,,King City SS,,"bay city academy farragut campus, bay city adult educationctp",
newmarket huron heights (cn),7449,,Huron Heights SS,,"huron high school, huron high school",
markham brother andre catholic (cn),7450,,Brother Andre Catholic HS (CN),,hackett catholic prep,00639636
aurora g.w. williams (cn),7451,,G.W. Williams SS,,,
columbus bishop ready (oh),7452,,Bishop Ready HS,,,
new lenox lincoln way west (il),7453,,Lincoln Way West HS,,"kalamazoo resa west campusyoung adult program, lincoln high school",
barron (wi),7454,,Barron HS,,,
bloomer (wi),7455,,Bloomer HS,,,
grantsburg (wi),7456,,Grantsburg HS,,,
sheboygan falls (wi),7457,,Sheboygan Falls HS,,,
london clarke road (cn),7458,,Clarke Road Secondary,,,
poynette (wi),7459,,Poynette,,,
river valley (wi),7460,,River Valley,,"black river public school middlehigh, chippewa valley adult and mohegan alt educ",
grand rapids (mn),7461,,Grand Rapids,,"big rapids virtual school, covenant house academy grand rapids",
crookston (mn),7462,,Crookston,,,
detroit lake (mn),7463,,Detroit Lake,,"ackerson lake community education, central lake public schools",
out of state13,7464,,Out Of State13,,"academy of science math and technology early college high sc, academy of the americas high school",
out of state14,7465,,Out Of State14,,"academy of science math and technology early college high sc, academy of the americas high school",
out of state15,7466,,Out Of State15,,"academy of science math and technology early college high sc, academy of the americas high school",
out of state16,7467,,Out Of State16,,"academy of science math and technology early college high sc, academy of the americas high school",
out of state17,7468,,Out Of State17,,"academy of science math and technology early college high sc, academy of the americas high school",
out of state18,7469,,Out Of State18,,"academy of science math and technology early college high sc, academy of the americas high school",
out of state19,7470,,Out Of State19,,"academy of science math and technology early college high sc, academy of the americas high school",
out of state20,7471,,Out Of State20,,"academy of science math and technology early college high sc, academy of the americas high school",
grand haven public schools,7882,,Grand Haven Public Schools,,"charlotte public schools project success, chesaning union schools alternative education",
holland area,8165,,Holland Area,,"allegan county area technical and education center, battle creek area learning center",
archdiocese of detroit (mic),8166,,Archdiocese of Detroit,,"academy of science math and technology early college high sc, alternative educational academy of iosco county",
warren zoe christian,8198,,Zoe Christian Schools,,"warren consolidated community high school, warren woods tower high school",
wayne state university,8223,,Wayne State University,,"grand rapids university preparatory academy, university preparatory academy psad high school",
manistee-casman academy,8228,,Casman Academy,,"academic and career education academy, academy 21",
kentwood grand river prep,8229,B,Grand River Prep,Titans,"dearborn newcomer college prep academy, grand rapids university preparatory academy",
manistee-casman academy 7/8,8230,,Casman Academy 7/8,,"academy 21, academy for business and technology high school",
burlington assumption (cn),8251,,Assumption SS,,,
burlington nelson (cn),8252,,Nelson HS,,,
oakville holy trinity (cn),8253,,Holy Trinity SS,,,
woodson (dc),8254,,Woodson HS,,,
chicago golder college prep (il),8255,,Golder College Prep,,"academy of science math and technology early college high sc, sigma academy for leadership and early middle college",
chicago phoenix military academy (il),8256,,Phoenix Military Academy,,"54th street academy, academy 21",
chicago raby (il),8257,,Raby HS,,way academy chicago site,
kankakee (il),8258,,Kankakee HS,,,
uccs woodlawn (il),8260,,University of Chicago Charter,,,
wheeler (in),8261,,Wheeler HS,,arts academy in the woods,
hammond clark (in),8262,,Hammond Clark HS,,,
cleveland st ignatius (oh),8263,,St Ignatius HS,,"st charles community middlehigh school, virtual learning academyof st clair county",
wintersville indian creek (oh),8265,,Indian Creek HS,,,
fairview (pa),8266,,Fairview HS,,fairview school,
independence gilmanton (wi),8267,,Independence HS,,,
oneida nation (wi),8268,,Oneida Nation HS,,,
siren (wi),8269,,Siren (WI),,,
wheeling park (wv),8270,,Wheeling Park HS,,"allen park community school, chandler park academy high school",
oberlin (oh),8273,,Oberlin HS,,,
lancaster fairfield christian (oh),8274,,Fairfield Christian Academy,,"faith christian school, faith christian school",
thompson ledgemont (oh),8275,,Ledgemeont HS,,,
youngstown christian (oh),8276,,Youngstown Christian HS,,"detroit christian schools of excellence, grandville calvin christian high school",
andover pymatuning valley (oh),8277,,Pymatuning Valley HS,,"huron valley womens, the valley school",
vienna mathews (oh),8278,,Mathews HS,,,
orwell grand valley (oh),8279,,Grand Valley HS,,"chippewa valley adult and mohegan alt educ, covenant house academy grand rapids",
windsor forster (cn),8280,,Forster SS,,,
windsor st joseph catholic (cn),8281,,St Joseph Catholic,,"st clair high school, st johns high school",
warren central (in),8282,,Warren Central HS,,"battle creek central high school, bay city central high school",
indianapolis chatard (in),8283,,Chatard HS,,,
naperville neuqua valley (il),8284,,Neuqua Valley HS,,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education",
bruce (wi),8285,,Bruce HS,,,
elmhurst immaculate conception (il),8286,,Imaculate Conception HS,,,
hebron lakewood (oh),8287,,Lakewood HS,,,
covington holy cross (ky),8288,,Holy Cross HS,,,
pittsburgh united military academy (pa),8289,,United Military Academy,,"54th street academy, academy 21",
genoa-kingston (il),8290,,Genoa-Kingston HS,,,
marengo (il),8291,,Marengo HS,,,
elgin st edward (il),8292,,St Edward HS,,"st charles community middlehigh school, st clair county intervention academy",
aurora marmion academy (il),8293,,Marmion Academy,,"academy 21, academy for business and technology high school",
lombard montini (il),8294,,Montini HS,,,
wheaton st francis (il),8295,,St Francis HS,,"st charles community middlehigh school, st clair county intervention academy",
dekalb (in),8296,,DeKalb (IN),,arts academy in the woods,
london montcalm (cn),8297,,Montcalm SS,,"central montcalm middle high school, early college at montcalm community college",
london westminster (cn),8298,,Westminster SS,,,
watseka (il),8299,,Watseka HS,,,
kirkland hiawatha (il),8300,,Hiawatha HS,,,
ann arbor multicultural academy,8301,,Multicultural Academy,,"54th street academy, academy 21",
benton harbor dream academy (closed),8302,,DREAM Academy HS,Toros,"54th street academy, academy 21",
monroe meadow montessori,8303,,Meadow Montessori,Wolves,"charlevoix montessori academy for the arts, howe trainable center and montessori",
meadow montessori jhs,8304,,Meadow Montessori JHS School,,"charlevoix montessori academy for the arts, grand rapids montessori middlehigh",
cincinnati horizon science acad (oh),8305,,Horizon Science Academy,,"academy of science math and technology early college high sc, ca frost environmental science academy middle high school",
london holy cross (cn),8306,,Holy Cross HS,,,
york weston (cn),8307,,Westin CI,,,
toronto forest hill (cn),8308,,Forest Hill CI,,hill center,
tomlinson middle school,8309,,Tomlinson Middle School,,"academy for business and technology high school, academy of the americas high school",
eastpointe eaton academy 6/7/8,8310,,Eaton Academy ,,"54th street academy, academy 21",
toronto don bosco catholic (cn),8312,,Don Bosco Catholic SS,,,
toronto newtonbrook (cn),8313,,Newtonbrook SS,,,
detroit mcgivney,8315,,McGivney Academy:Detroit,,"covenant house academy detroit central site, covenant house academy detroit east site",
detroit university prep art & design,8316,B,University Prep Art & Design,Mustangs,"detroit collegiate preparatory high school at northwestern, detroit school of arts",
galien,8317,,Galien Alternative HS,,,
galien jhs,8318,,Galien JHS,,,
burton madison academy,8319,C,Madison Academy,Eagles,"academic and career education academy, academy 21",
flint madison academy middle school,8320,,Madison Academy Middle School,,"54th street academy, academy 21",
kimball landmark academy,8321,C,Landmark Academy,Lakers,"landmark academy, academic and career education academy",
kimball landmark acad middle school,8322,,Landmark Acad Middle School,,"actech high school, addison high school",
washington-parks academy,8323,,Washington-Parks Academy,,"academic and career education academy, academy 21",
holland heights,8326,,Holland Heights K-7,,"dearborn heights virtual academy, godwin heights learning center",
holland eight,8327,,Holland Eight @ HHS,Dutch,"holland virtual tech high school, calvary schools of holland",
holland jefferson,8328,,Jefferson K-7,,"holland virtual tech high school, calvary schools of holland",
ann arbor washtenaw tech,8329,,Washtenaw Tech Middle College,,"lisd tech center, van buren tech",
popular name,8330,,Popular Name,,,
niagara hs (wi),8331,,Niagara HS (WI),,"carsonvilleport sanilac hs, ea johnson memorial hs",
howards grove (wi),8332,,Howards Grove HS,,"lincolnking adams young school grove campus, maple grove alternative high school",
blair-taylor (wi),8333,,Blair-Taylor HS ,,"taylor career and technical center, taylor preparatory high school",
arcadia (wi),8334,,Arcadia HS,,,
eleva-strum (wi),8335,,Eleva-Strum HS,,,
cochrane-fountain city (wi),8336,,Cochrane-Fountain City HS,,"city middlehigh, dollar baytamarack city area k12 school",
alma center lincoln (wi),8337,,Lincoln HS,,"allegan county area technical and education center, apollo center",
melrose-mindoro (wi),8338,,Melrose-Mindoro HS,,,
hunting valley university school (oh),8339,,University School,,"actech high school, addison high school",
cleveland central catholic (oh),8340,,Cleveland Central Catholic HS,,"central academy, central high school",
hamilton st thomas more (cn),8341,,St Thomas More Catholic Secondary School,,"hamilton flex, virtual learning academyof st clair county",
bryan (oh),8342,,Bryan HS,,,
mundelein carmel (il),8343,,Carmel HS,,,
arlington heights st viator (il),8344,,St Viator HS,,"st clair high school, st johns high school",
henderson county (ky),8345,,Henderson County HS,,"allegan county area technical and education center, alternative educational academy of iosco county",
evansville memorial (in),8346,,Memorial HS,,,
calumet heritage christian (in),8347,,Heritage Christian HS,,"calumet high school, heritage high school",
hermantown (mn),8348,,Hermantown HS,,,
detroit lakes (mn),8349,,Detroit Lakes HS,,"covenant house academy detroit central site, covenant house academy detroit east site",
gahanna lincoln (oh),8350,,Lincoln HS,,lincoln alternative high school,
new albany (oh),8351,,New Albany HS,,"new beginnings alternative high school, new buffalo senior high school",
ohio school for the deaf (oh),8352,,Ohio School For The Deaf,,"academy for business and technology high school, actech high school",
detroit community 6/7/8,8353,,Detroit Community 6/7/8,Hurricanes,"cedar street community and family center, consolidated community school services",
test 1,8354,,Test 1,,beth jacob 1-8,00643187
test,8355,,test,,,
erictest,8356,,EricTest,,,
test 2,8357,,Test 2,,,
brewer jhs,8358,,Brewer Academy,,,
lapeer rolland-warner campus                   ,8359,,Rolland-Warner Campus ,,"capstone academy charter school sda south campus, east lee campus",
new era christian school 7/8,8363,,New Era Christian School 7/8,,"academy for business and technology high school, actech high school",
toronto upper canada college (cn),8364,,Upper Canada College,,"academy of science math and technology early college high sc, genesee early college",
toronto de la salle college (cn),8365,,De La Salle College,,"academy of science math and technology early college high sc, sigma academy for leadership and early middle college",
toronto trinity college (cn),8366,,Trinity College in the University of Toronto,,"academy of science math and technology early college high sc, early college at montcalm community college",
boone grove (in),8367,,Boone Grove HS,,"arts academy in the woods, lincolnking adams young school grove campus",
wellsburg brooke (wv),8368,,Brooke HS,,,
washington st john's college (dc),8369,,St John's College,,"academy of science math and technology early college high sc, genesee early college",
tuscarawas central catholic (oh),8372,,Tuscarawas Central Catholic HS,,"central academy, central high school",
saginaw st stephen (jhs),8373,,St Stephen,Titans,"st charles community middlehigh school, st clair county intervention academy",
oakville white oaks (cn),8376,,White Oaks Secondary School,,white lake area community education,
oakville iroquois ridge (cn),8377,,Iroquois Ridge HS,,,
tennessee school for the deaf (tn),8378,,Tennessee School for the Deaf,,"actech high school, addison high school",
georgia school for the deaf (ga),8379,,Georgia School For The Deaf,,"academy for business and technology high school, actech high school",
arkansas school for the deaf (ar),8380,,Arkansas School For The Deaf,,"actech high school, addison high school",
missouri school for the deaf (mo),8381,,Missouri School For The Deaf,,"actech high school, addison high school",
eastern north carolina school for the deaf (nc),8382,,Eastern North Carolina School For The Deaf (NC),,"actech high school, ad johnston jrsr high school",
minnesota school for the deaf (mn),8383,,Minnesota School For The Deaf,,"actech high school, addison high school",
iowa school for the deaf (ia),8384,,Iowa School For The Deaf,,"academy for business and technology high school, actech high school",
